"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia Świętego Judy Tadeusza","77-300","Człuchów","77-300 Człuchów, Jerzego z Dąbrowy 7","","","59 834 54 20","Ks. kan. Jan MECHLIŃSKI","godz. 7.00, 9.00, 11.00, 16.00 ","godz. 8.00, 17.00 (zimą), 18.00","godz. 8.00, 17.00 (zimą), 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=189:Parafia-Swietego-Judy-Tadeusza"
"Parafia Matki Bożej Królowej Polski","77-300","Człuchów","77-300 Człuchów, Szczecińska 39","","","59 834 28 88","ks. Krzysztof Różański, dr teol., wicedziekan","godz. 7.00, 9.00, 11.00, 18.00 ","godz. 1:800","godz. 9.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=190:Parafia-Matki-Bozej-Krolowej-Polski"
"Parafia Podwyższenia Krzyża Świętego","83-212 Bobowo","Dąbrówka","83-212 Bobowo Dąbrówka, Starogardzka 25","","","58 562 01 67","ks. Paweł Sitarek, mgr teol.","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=373:Parafia-Podwyzszenia-Krzyza-Swietego"
"Parafia Świętego Michała Archanioła","89-430","Dąbrówka koło Sępólna Kraj.","89-430 Dąbrówka koło Sępólna Kraj., Kościelna 4","","","52 388 68 04","ks. Jerzy Sikora, mgr teol.","godz. 8.00, 9.30 (Drożdzienica), 11.00 ","godz. 17.00 (zimą), 18.00 (latem)","godz. 9.00, 16.00 (Drożdzienica), 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=232:Parafia-Swietego-Michala-Archaniola"
"Parafia Świętych Szymona i Judy Tadeusza","76-231 Damnica","Damno","76-231 Damnica Damno, Damno 28","","","59 811 30 89","ks. Zdzisław Wirkus, mgr teol.","godz. 8:00, 10.00 (Grapice), 12.00 dni powszednie: godz. 18.00 godz. 16 (środa i I piątek miesiąca – Grapice","godz. 18.00 godz. 16 (środa i I piątek miesiąca – Grapice","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=196:Parafia-Swietych-Szymona-i-Judy-Tadeusza"
"Parafia Świętego Krzyża","77-300","Dębnica","77-300 Dębnica, Dębnica 29a","","","59 834 19 80,","ks. Andrzej Wierzchowski, mgr teol.","godz. 9.00 (Ględowo), 10.30 godz. 12.00 (Mosiny) ","godz. 17.00 (zimą), 18.00 (latem)","godz. 16.00 (Mosiny), 17.00 godz. 18.00 (Ględowo) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=192:Parafia-Swietego-Krzyza"
"Parafia Świętego Jana Chrzciciela","76-248","Dębnica Kaszubska","76-248 Dębnica Kaszubska, Kościelna 2","","","59 813 13 08","ks. Jan Gilmeister","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=304:Parafia-Swietego-Jana-Chrzciciela"
"Parafia Wniebowzięcia Najświętszej Maryi Panny","77-310","Debrzno","77-310 Debrzno, Witosa 5","","","59 833 53 12, www.debica.salezjanie.pl","ks. Adam Michalski SDB, mgr teol.","godz. 8.00, 9.15, 10.30, 12.00, 18.00 godz. 9.00 (Słupia i Myśligoszcz) godz. 10.30 (Strzeczona i Stare Gronowo) godz. 12.00 (Debrzno Wieś i Scholastykowo) ","godz. 9.00 , 18.00","godz. 9.00, 10.30, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=191:Parafia-Wniebowziecia-Najswietszej-Maryi-Panny"
"Parafia Świętego Stanisława Biskupa i Męczennika","76-246","Dobieszewo","76-246 Dobieszewo","","","59 858 24 19","ks. Jerzy Śliż","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=305:Parafia-Swietego-Stanislawa-Biskupa-i-Meczennika"
"Parafia Świętego Antoniego Padewskiego","86-140 Drzycim","Dólsk","86-140 Drzycim Dólsk","","","","ks. Tadeusz Olszewski","godz. 9.00, 11.00 ","godz. 17.00","godz. 9.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=222:Parafia-Swietego-Antoniego-Padewskiego"
"Parafia Matki Boskiej Pocieszenia","86-140 Drzycim","Drzycim","86-140 Drzycim Drzycim, Szkolna 15","","","52 331 70 24","ks. Henryk Stoltmann, mgr teol.","godz. 8.00, 9.30, 11.00, 16.00 ","godz. 17.00 (zimą), 18.00","godz. 9.30, 16.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=223:Parafia-Matki-Boskiej-Pocieszenia"
"Parafia Świętego Antoniego Padewskiego","83-425 Dziemiany","Dziemiany","83-425 Dziemiany Dziemiany, Wyzwolenia 25","","","58 688 00 68","ks. Adam Gadomski","godz. 7.00, 9.00, 11.00, 17.00 ","godz. 7.00, 18.00","godz. 7.00, 9.00, 15.00, 18.00 ","54.006251263433,17.769043821399","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=146:Parafia-Swietego-Antoniego-Padewskiego"
"Parafia Świętego Jakuba Apostoła","83-132","Dzierżążno","83-132 Dzierżążno","","","58 536 27 70","ks. Janusz Wachowski, mgr teol.","godz. 9.00, 11.00, 13.00 (Gogolewo) ","godz. 17.00","godz. 9.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=214:Parafia-Swietego-Jakuba-Apostola"
"Parafia Świętej Marii Magdaleny","84-351 Nowa Wieś Lę­borska","Garczegorze","84-351 Nowa Wieś Lę­borska Garczegorze","","","59 861 22 78","Ks. Tomasz KRAJNA","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=295:Parafia-Swietej-Marii-Magdaleny"
"Parafia Świętego Andrzeja Apostoła","83-420 Liniewo Pomorskie","Garczyn","83-420 Liniewo Pomorskie Garczyn","","","58 687 93 19","ks. Rafał Cieszyński","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=350:Parafia-Swietego-Andrzeja-Apostola"
"Parafia Nawiedzenia Najświętszej Maryi Panny","76-213","Gardna Wielka","76-213 Gardna Wielka, plac Wolności 6","","","59 846 34 05","ks. Mieczysław Radochoński, mgr teol.","godz. 8.45, 10.30 (Gąbino), 12.00 ","godz. 1:700","godz. 9.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=197:Parafia-Nawiedzenia-Najswietszej-Maryi-Panny"
"Parafia Świętego Mikołaja","83-140","Gniew","83-140 Gniew, ks. Kursikowskiego 8","","","58 535 22 16","ks. Zbigniew Rutkowski, lic. teol.","godz. 7.30, 9.00, 10.00 (Polskie Gronowo) godz. 11.00 (z udziałem rodzin i dzieci) godz. 12.30 godz. 13.30 (Brody Pomorskie), 17.30 ","godz. 6.30, 8.00, 17.00,18.00","godz. 6.30, 8.00, 17.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=215:Parafia-Swietego-Mikolaja"
"","",""," ","","","","","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=209:Parafia-Swietego-Jozefa-Rzemieslnika"
"Parafia Świętego Jana Nepomucena","83-209","Godziszewo","83-209 Godziszewo","","","58 588 18 21","ks. Wiesław Wojewódzki","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=351:Parafia-Swietego-Jana-Nepomucena"
"Parafia Trójcy Świętej i Wszystkich Świętych","83-311","Goręczyno","83-311 Goręczyno, Kasztelańska 60","","","58 684 17 22","ks. Hubert Kitowski, mgr teol.","godz. 7.30, 9.30, 11.00 Ostrzyce godz. 9.00,16.00, 17.00 (latem) ","godz. 8.00 (wtorek i czwartek) godz. 18.00 (pozostałe dni) Ostrzyce godz. 17.00, 18.00 (latem)","godz. 9.30, 16.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=243:Parafia-Trojcy-Swietej-i-Wszystkich-Swietych"
"Parafia Świętej Teresy od Dzieciątka Jezus","86-134 Dragacz","Górna Grupa","86-134 Dragacz Górna Grupa, Świecka 4","","","52 332 56 14, http://werbisci-gornagrupa.prv.pl/","ks. Ryszard Hoppe SVD, lic. teol.","godz. 7.45, 10.45, 17.00 ","godz. 17.00","godz. 10.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=312:Parafia-Swietej-Teresy-od-Dzieciatka-Jezus"
"Gorzędziej - Parafia Świętego Wojciecha Sanktuarium Świętego Wojciecha","83-120 Subkowy","Gorzędziej","83-120 Subkowy Gorzędziej, ks. Hundsdorfa 7,","","","58 536 84 34","o. Zbigniew Stachowicz OCD","godz. 9.00, 10.30, 12.30 (Rybaki) ","godz. 18.00","godz. 9.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=401:Gorzedziej-Parafia-Swietego-Wojciecha-Sanktuarium-Swietego-Wojciecha"
"PARAFIA św. Jana Marii Vianneya","77-100","Gostkowo","77-100 Gostkowo, Gostkowo 19 F","","","kom. 664 482 067","ks. Czesław Narloch, mgr teol.","godz. 9.00, 10.30 ","godz. 17.00 (18.00 latem)","godz. 17.00 ","54.223606346896,17.476974932153","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=158:PARAFIA-sw-Jana-Marii-Vianneya"
"Parafia Świętego Marcina","89-520","Gostycyn","89-520 Gostycyn, Główna 46","","","52 334 60 17","ks. Stanisław Jahns","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=413:Parafia-Swietego-Marcina"
"Parafia Niepokalanego Poczęcia Najświętszej Maryi Panny","83-341","Gowidlino","83-341 Gowidlino, Kościelna 9","","","58 352 60 02","ks. Leszek Piotr Knut","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=340:Parafia-Niepokalanego-Poczecia-Najswietszej-Maryi-Panny"
"Parafia Najświętszej Maryi Panny Częstochowskiej","83-316","Gołubie","83-316 Gołubie, Kościelna 14","","","58 684 37 10","ks. Ryszard Grzeszczuk","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=384:Parafia-Najswietszej-Maryi-Panny-Czestochowskiej"
"Parafia Objawienia Pańskiego","83-212 Bobowo","Grabowo","83-212 Bobowo Grabowo","","","58 562 17 43","ks. Piotr Kowalski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=364:Parafia-Objawienia-Panskiego"
"Parafia Świętej Anny","83-403","Grabowo Kościerskie","83-403 Grabowo Kościerskie","","","kom. 888 590 059","ks. Paweł Rąbca","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=263:Parafia-Swietej-Anny"
"Parafia Miłosierdzia Bożego","86-140 Drzycim","Gródek","86-140 Drzycim Gródek, pl. Jana Pawła II","","","52 331 68 13","ks. Andrzej Maria Lemańczyk, lic. teol.","godz. 8.30, 10.00 ","godz. 17.00 w pierwsze soboty miesiąca: godz. 8.30","godz. 8.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=224:Parafia-Milosierdzia-Bozego"
"Gruczno - Parafia Świętego Jana Chrzciciela","86-111","Gruczno","86-111 Gruczno, Wojska Polskiego 12","","","52 331 93 79 www.ewangelizacja.net","ks. Franciszek Kamecki","godz. 8.00, 9.30, 11.00 dni powszednie: godz. 18.00","godz. 18.00","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=392:Gruczno-Parafia-Swietego-Jana-Chrzciciela"
"Parafia Wojskowa MIŁOSIERDZIA BOŻEGO","86-134","Grupa","86-134 Grupa","","","52 458 42 20","ks. Piotr Wszelaki mgr teol., major WP","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=313:Parafia-Wojskowa-MILOSIERDZIA-BOZEGO"
"Parafia Niepokalanego Poczęcia Najświętszej Maryi Panny","83-300","Grzybno","83-300 Grzybno, Długa 36","","","58 694 30 10","ks. Wojciech Klawikowski","godz. 8.00, 10.00, 11.30, 17.00 ","godz. 17.00, 18.00","godz. 8.00, 16.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=244:Parafia-Niepokalanego-Poczecia-Najswietszej-Maryi-Panny"
